Age,EdLevel,Employment,YearsCode,WorkExp,Country,JobSat,Salary,lgr_pred,svr_pred,rfr_pred,lgr_pred_raw,svr_pred_raw,rfr_pred_raw,xgb_pred,xgb_pred_raw
47,Professional degree,Employed,38,33,United States of America,8,99999,12.38223490285299,11.967153628586303,12.176096018948417,238525.31123109168,157494.7304436815,194092.64328858675,12.263883590698242,211901.93408134163
47,Bachelor’s degree,Employed,25,25,United States of America,3,270000,12.006032400243559,11.93566996928106,12.087211414636052,163738.56073743937,152613.43228548148,177585.2019210492,12.039750099182129,169353.6133153826
42,Master’s degree,Employed,35,25,United States of America,8,250000,12.205876164905552,12.043115865357676,12.203747129434246,199959.70773528647,169924.58167854208,199534.4371643544,12.266558647155762,212469.54525100367
32,Master’s degree,Employed,14,8,Czech Republic,3,43810,11.033716988649523,11.11506376927763,11.358384727485593,61926.33674011714,67174.49278376522,85679.85872044749,11.005704879760742,60215.69267142438
47,Professional degree,Employed,23,20,Hungary,8,80966,11.13510374027568,11.488941748146404,11.364928252969344,68534.26712,97629.16069195468,86242.35194,11.073725700378418,64454.20080994348
42,Bachelor’s degree,Employed,21,15,United Kingdom of Great Britain and Northern Ireland,7,142949,11.480335928612554,11.52820716187018,11.550748261923705,96792.57805070869,101538.90590991096,103853.71828471069,11.553418159484863,104131.37022996621
32,Master’s degree,Employed,12,6,Switzerland,8,117793,11.836681437408322,11.232361162177613,11.812053825244051,138229.99442327415,75534.73708921726,134867.2729647173,11.79915714263916,133139.08753751052
42,Master’s degree,Employed,19,10,Germany,6,75410,11.291053579840801,11.337924441908319,11.367084936168784,80100.79800760614,83944.6162,86428.55224,11.40074634552002,89387.41311257936
42,Bachelor’s degree,Employed,18,15,Netherlands,9,81210,11.361682480222477,11.50395707451792,11.364928252969344,85962.87942,99106.17056061122,86242.35194,11.567290306091309,105585.9757
42,College/University course,Employed,8,8,United States of America,7,151000,11.71796446022298,11.623808303792476,11.754998469335803,122756.29335466625,111725.39992199527,127387.71887476268,11.80524730682373,133952.40663975658
47,Bachelor’s degree,Employed,25,20,United Kingdom of Great Britain and Northern Ireland,8,151117,11.53029826053243,11.566287150835397,11.526478780098925,101751.45802759654,105480.10863946105,101363.55776540117,11.535025596618652,102233.61485505248
42,Bachelor’s degree,Employed,20,17,Spain,9,67289,11.164875816234149,11.48812523801199,11.375692238191919,70605.38201678847,97549.47721,87175.68830389355,11.372130393981934,86865.73085917314
47,Bachelor’s degree,"Independent contractor, freelancer, or self-employed",30,30,Czech Republic,7,197225,11.337359501203048,11.521284812245876,11.375692238191919,83897.20529313186,100838.43841795866,87175.68830389355,11.181610107421875,71796.87133283827
47,Bachelor’s degree,Employed,41,26,United States of America,9,245000,12.12561703396792,11.998068253755635,12.076136106601592,184538.17194049762,162439.6939379176,175629.23151312643,12.102237701416016,180273.81244758607
32,Bachelor’s degree,Employed,12,9,Sweden,7,75472,11.185580139855093,11.236098850572489,11.358384727485593,72082.47776894899,75817.59442412268,85679.85872044749,11.202492713928223,73311.96249573978
32,Bachelor’s degree,Employed,16,10,United States of America,8,150000,11.962779761143782,11.777623003271454,11.996817950443388,156807.36930501962,130302.67974461292,162236.72071573092,12.009832382202148,164361.95180140724
59,Master’s degree,Employed,45,36,United Kingdom of Great Britain and Northern Ireland,8,115720,11.781142076570786,11.559846038890429,11.614297591654545,130762.03572443806,104802.87641632753,110667.83934291989,11.636584281921387,113161.97122521258
32,Master’s degree,"Independent contractor, freelancer, or self-employed",8,8,Romania,5,20677,11.089397259069877,11.166453456844009,11.300391821566647,65472.27080804663,70716.86142647313,80852.31140580015,10.999626159667969,59850.762529560656
42,Master’s degree,Employed,17,15,Canada,8,72958,11.521816987326385,11.506259109346432,11.381378006765928,100892.11693613531,99334.58152312307,87672.76658,11.670073509216309,117015.8837841578
42,Bachelor’s degree,Employed,25,12,United States of America,10,116000,11.924515468679727,11.886586406529599,12.037621177905569,150920.55366925267,145303.43999575498,168993.45418705678,12.002640724182129,163184.14991141105
32,Master’s degree,Employed,15,9,Belgium,10,87011,11.296591320083072,11.31660419477381,11.364684420952758,80545.61145182513,82173.81891,86221.32561338754,11.289558410644531,79981.12175707599
42,Bachelor’s degree,Employed,22,15,United States of America,9,90000,11.96202905469299,11.952500958128365,12.072450793178737,156689.69642506563,155203.82235574964,174983.1702637776,12.111763954162598,181999.36183522677
32,Master’s degree,Employed,15,15,Brazil,10,36407,10.798970973134471,11.45407712121879,11.037340375323621,48969.38336011472,94283.97474,62151.13043812688,11.199191093444824,73070.31005889787
42,Master’s degree,Employed,20,15,Italy,7,139218,10.93351969238926,11.368312096517293,10.992422909777257,56022.11723980683,86534.68026799813,59421.18436454755,10.99647331237793,59662.35623
32,Bachelor’s degree,Employed,8,6,Argentina,9,13649,10.728898326768126,11.140871271272506,11.00602487285554,45655.36591383336,68930.68848810626,60234.96468056132,10.757423400878906,46976.46985058296
42,Bachelor’s degree,Employed,10,6,United Kingdom of Great Britain and Northern Ireland,6,81685,11.276286327181197,11.210280009432836,11.144404560061167,78926.60565362468,73885.10090172834,69174.67483350447,11.27230167388916,78612.73226353558
47,Professional degree,Employed,42,33,Belgium,8,167061,11.658738908177899,11.549283536357077,11.375692238191919,115697.03253778073,103701.71097529701,87175.68830389355,11.67396354675293,117471.97037633843
47,Secondary school,Employed,41,26,Germany,10,145018,11.452374098039996,11.536191121995138,11.362120094764458,94123.54188888542,102352.84136028307,86000.50669267621,11.172996520996094,71181.09001299662
47,Master’s degree,Employed,27,25,United States of America,6,155000,12.110323697491012,11.958978489666343,12.201364653327735,181737.42327452145,156212.42960340576,199059.61460420885,12.210054397583008,200796.93795187378
42,Bachelor’s degree,Employed,20,15,Canada,9,80254,11.485236007621717,11.532611964865847,11.381378006765928,97268.03817547852,101987.15569288036,87672.76658,11.673036575317383,117363.12674361386
42,Secondary school,Employed,22,17,Italy,8,83531,10.822954890049024,11.354755501506794,11.012051209306957,50158.082819855306,85369.46710344136,60599.062857355406,10.932286262512207,55953.059251046056
32,Bachelor’s degree,Employed,15,10,Canada,8,109438,11.474265692446648,11.381068723133929,11.382031628908164,96206.79788329976,87645.65471,87730.09082280402,11.585618019104004,107538.98588433654
47,Bachelor’s degree,Employed,24,21,Norway,7,87561,11.496525293796413,11.54370115380194,11.375692238191919,98372.35794575079,103124.41561159883,87175.68830389355,11.598349571228027,108916.88963448572
59,Bachelor’s degree,"Independent contractor, freelancer, or self-employed",30,30,United States of America,5,75000,12.043295209817238,11.80779378710415,11.947038936585924,169955.0596230976,134293.95103172536,154358.40122859058,11.908835411071777,148572.55152515552
59,Master’s degree,"Independent contractor, freelancer, or self-employed",30,28,United Kingdom of Great Britain and Northern Ireland,9,88492,11.674326021773394,11.497998465965253,11.645785225603742,117514.55911188974,98517.38563798304,114207.9821146595,11.68697452545166,119010.39519515664
32,Bachelor’s degree,Employed,10,6,United States of America,8,131000,11.877694531230896,11.569041366534279,11.84403882495929,144017.13832713856,105771.0268066013,139250.76391456084,11.879084587097168,144217.47078956934
32,Bachelor’s degree,Employed,16,10,United States of America,2,120000,11.85948637295774,11.685463436151341,12.012902259959674,141418.56270168253,118830.69415561424,164867.3012549532,11.988673210144043,160920.70319921823
32,Master’s degree,Employed,10,4,Spain,8,41765,11.064041748437969,10.975918561278235,10.83833757326986,63833.03228,58448.50869346015,50935.62914360767,10.755614280700684,46891.558792267795
65,Master’s degree,"Independent contractor, freelancer, or self-employed",45,45,United States of America,10,45000,12.418860986695657,11.843710413683603,11.901885327765507,247423.55511311957,139205.0395737375,147543.53298933106,11.995162010192871,161968.28706023315
47,Bachelor’s degree,Employed,27,22,Canada,2,65663,11.433489368560332,11.510039278911405,11.369567056155756,92362.70418056569,99710.79749720273,86643.34722608273,11.55888557434082,104702.26433327209
42,Secondary school,Employed,16,16,Canada,8,113085,11.330757619221588,11.459317130862111,11.38671276174602,83345.14357162185,94779.32560213486,88141.73444048826,11.488682746887207,97603.87763171342
32,Bachelor’s degree,Employed,13,8,Switzerland,4,94235,11.76052327,11.276899949260661,12.068159841685922,128093.46375428111,78975.05223755968,174233.9303029296,11.907954216003418,148441.68691135713
32,College/University course,Employed,7,7,Spain,8,440856,10.99220595562346,11.077289607164385,11.110780199791309,59408.29387319531,64684.322960875215,66887.35731406951,11.028731346130371,61618.35755197896
42,Bachelor’s degree,Employed,24,20,United States of America,5,295000,11.995059583474811,11.987343684718182,12.073023935918945,161951.69792733277,160706.89586587943,175083.48991660983,12.083965301513672,177009.67164420715
42,Bachelor’s degree,Employed,18,13,Netherlands,7,113694,11.285926293841896,11.422534126819802,11.363318606240885,79691.14428354715,91356.35991046847,86103.64227768287,11.419731140136719,91100.64499740947
47,Bachelor’s degree,Employed,28,25,United States of America,10,350000,12.122006426253087,12.006132575734208,12.076136106601592,183873.07480756403,163754.96424987618,175629.23151312643,12.102191925048828,180265.5603104547
32,Bachelor’s degree,Employed,10,4,India,9,20109,10.369511436575662,10.905554276137256,9.981851022,31871.901231511936,54477.111500631494,21629.313699029397,10.078489303588867,23823.96605
32,College/University course,Employed,3,2,United States of America,10,87000,11.751511748159931,11.273237758687323,11.210612045819852,126944.32337853269,78686.35583681207,73909.63784907671,11.31029987335205,81657.39200618498
32,Master’s degree,Employed,8,1,Norway,8,66017,11.315183132976761,10.853158945475569,10.836499886337581,82057.12634381744,51696.20232911548,50842.10952206807,11.039488792419434,62284.802678148284
42,Professional degree,Employed,10,8,Germany,7,83531,11.319632414775286,11.269472145091235,11.295551595924218,82423.03949350059,78390.60684751322,80461.90871540384,11.365511894226074,86292.70181027078
32,College/University course,Employed,9,7,Switzerland,8,114981,11.73319216247404,11.21654853,11.787541529050358,124639.91004601242,74349.71232456871,131601.53084722927,11.631129264831543,112546.34593309318
59,Bachelor’s degree,Employed,45,36,United States of America,8,150000,12.179564182805091,11.878673914880176,12.001760346155624,194766.9605,144158.25643011736,163040.5485122104,11.995503425598145,162023.59531102385
42,Master’s degree,Employed,15,15,United States of America,5,200000,11.949971410852394,11.888175752229797,12.111220934502153,154811.72054924583,145534.56260088962,181900.55888894125,12.121066093444824,183700.25325005822
47,Master’s degree,Employed,40,30,France,9,69609,11.438008771026201,11.514018969268042,11.364928252969344,92781.07761986657,100108.41023916243,86242.35194,11.376605987548828,87255.38235
32,College/University course,Employed,12,2,Italy,9,31324,10.696494223058334,10.772990176306195,10.81138145680971,44199.62565509853,47713.47911989082,49580.916364548524,10.453060150146484,34649.24759344487
32,Master’s degree,Employed,17,6,Germany,5,75410,11.306398567784091,11.131688838846166,11.11746978754926,81339.43828736355,68300.62510085473,67336.31283975077,11.240544319152832,76155.39388558248
32,College/University course,"Independent contractor, freelancer, or self-employed",10,10,Romania,10,91899,11.073556257540552,11.273869835753676,11.367084936168784,64443.280263033404,78736.10803180277,86428.55224,11.989416122436523,161040.29832949745
42,Bachelor’s degree,Employed,20,15,United States of America,7,165000,11.929755666327015,11.927877796477018,12.05819712357865,151713.4881920497,151428.85546411917,172506.6950732095,12.055909156799316,172112.4543744942
47,Professional degree,Employed,35,23,Germany,8,75410,11.578704416272405,11.562629959842964,11.379001004144559,106798.06131373892,105095.0486272599,87464.61329100332,11.599682807922363,109062.19980651845
42,College/University course,Employed,32,10,Portugal,9,44086,10.912673958398809,11.245072213826331,11.382031628908164,54866.36237173147,76501.00386813992,87730.09082280402,11.153058052062988,69775.88350794069
42,College/University course,Employed,14,11,United Kingdom of Great Britain and Northern Ireland,9,120485,11.360001370194071,11.372921771237865,11.555018030511407,85818.48608121782,86934.50242280865,104298.10193106768,11.462106704711914,95044.09144014493
32,Bachelor’s degree,Employed,11,6,Norway,8,98842,11.345655222424982,11.164950962910776,11.095476805157524,84596.09630970669,70610.68805110862,65871.53100607067,11.328789710998535,83181.28729026926
59,Secondary school,Employed,39,39,Italy,7,46406,11.034410193901182,11.440447846516314,11.064662419785732,61969.27997768593,93007.65632026021,63872.66453332834,11.107200622558594,66648.35329497092
42,Master’s degree,Employed,16,11,Germany,8,116015,11.339176906556773,11.395858068542772,11.347038315879232,84049.82098,88951.52403198004,84713.18295208042,11.41145133972168,90349.45569956212
42,Bachelor’s degree,Employed,15,21,Belgium,7,148499,11.323948070537691,11.560503262980529,11.364928252969344,82779.52194899612,104871.77868828051,86242.35194,11.28799057006836,79855.82079285201
32,Master’s degree,Employed,9,3,Greece,3,17402,10.636588240348345,10.856281373161593,10.567904034263865,41629.49540658037,51857.87537980938,38866.124131325436,10.058392524719238,23349.94012780366
47,School,Employed,26,26,Sweden,10,11530,11.338756178019798,11.50539401603954,11.379001004144559,84014.46583991357,99248.68413639539,87464.61329100332,11.231465339660645,75467.10077468689
47,Bachelor’s degree,Employed,40,30,Canada,6,94846,11.685330935035314,11.588933621483074,11.39329402823628,118814.94986661014,107896.13747652707,88723.73832565831,11.521041870117188,100813.94324570881
42,Bachelor’s degree,Employed,28,25,United Kingdom of Great Britain and Northern Ireland,7,49011,11.678830757961052,11.645164381883692,11.556477217716314,118045.12984700568,114137.09819153642,104450.4049383645,11.597490310668945,108823.34098483267
42,Master’s degree,Employed,36,12,Germany,10,58007,11.396226562667932,11.45429276599538,11.379001004144559,88984.30855,94304.30899,87464.61329100332,11.56686019897461,105540.57171496085
47,Professional degree,Employed,20,20,Canada,7,102142,11.617841666101244,11.533327013546755,11.369567056155756,111060.75379625233,102060.10826828983,86643.34722608273,11.700034141540527,120574.83156081697
42,Bachelor’s degree,Employed,33,20,United Kingdom of Great Britain and Northern Ireland,6,129334,11.563553864552713,11.606418109600709,11.598242410473112,105192.19223036872,109799.25270972773,108905.21853656175,11.569273948669434,105795.63035149721
42,College/University course,"Independent contractor, freelancer, or self-employed",19,17,Argentina,7,108000,10.791959556576069,11.415180040862783,11.362120094764458,48627.232486179644,90686.97440897732,86000.50669267621,11.201029777526855,73204.78871
42,Master’s degree,Employed,30,20,Portugal,9,63808,11.254275040477049,11.548531140863357,11.38671276174602,77208.28806332135,103623.71486851176,88141.73444048826,11.292445182800293,80212.34550368546
47,Bachelor’s degree,Employed,33,25,United States of America,8,190000,12.091289850825394,11.99061450667047,12.10035637604687,178310.95487625778,161233.40336633538,179934.9757,12.116469383239746,182857.7696345294
32,Master’s degree,Employed,10,4,Spain,8,34804,11.054350953666647,10.97011620221988,10.816185619487245,63217.417490257634,58110.34567760986,49819.68904879786,10.740684509277344,46196.66382705518
42,College/University course,Employed,25,25,United States of America,9,155000,12.082958955483896,11.978860635996584,12.107337105304076,176831.62725972573,159349.3690791055,181195.45444229504,12.136184692382812,186498.6595
32,Bachelor’s degree,Employed,16,12,Germany,9,116015,11.438021221374552,11.472389459231195,11.375692238191919,92782.23279624477,96026.45884927156,87175.68830389355,11.503334999084473,99044.53759669086
42,Master’s degree,Employed,25,17,United States of America,7,140000,12.022156544393571,11.95480693859628,12.191642884753135,166400.12104462404,155562.1346163869,197133.76985325397,12.239429473876953,206782.88103570667
32,Professional degree,Employed,18,8,Argentina,8,78000,10.849143668072916,11.220065461017493,11.348984453617982,51489.03990645067,74611.65881590359,84878.20895010652,10.962936401367188,57694.612016714156
42,College/University course,Employed,33,21,Switzerland,7,210788,11.892875985439531,11.598972792422622,11.83006268956425,146220.22380689636,108984.79072827904,137318.09945737958,11.81292439,134984.73498650364
42,Bachelor’s degree,Employed,22,13,Canada,8,248250,11.413620246374666,11.461480855023169,11.38671276174602,90545.63006907397,94984.62611,88141.73444048826,11.63961410522461,113505.35496583865
32,Bachelor’s degree,Employed,11,1,Portugal,7,18562,10.858605721686686,10.802046519749336,10.848649237384656,51978.553675189025,49120.22589961595,51463.58794321555,10.194808006286621,26762.86688647009
32,College/University course,Employed,8,6,Argentina,7,39923,10.607840010342178,11.039545440960012,10.91132683749308,40449.731660373676,62288.33117790999,54792.499163344575,10.373564720153809,32001.353314430635
47,College/University course,"Independent contractor, freelancer, or self-employed",30,21,Netherlands,9,220428,11.401648436344075,11.468015911152824,11.362120094764458,89468.08596147275,95607.39520662947,86000.50669267621,11.571511268615723,106032.5962482501
42,Bachelor’s degree,Employed,22,14,United States of America,9,200000,11.941527891054259,11.921674319268085,12.076546054540925,153510.05931276706,150492.3715385739,175701.2455246092,12.095492362976074,179061.8898346854
42,Bachelor’s degree,Employed,32,15,Hungary,10,202416,10.994148081678288,11.480176468620227,11.38671276174602,59523.78632487346,96777.14457803885,88141.73444048826,10.997708320617676,59736.08648240251
47,Bachelor’s degree,Employed,30,25,Germany,1,69609,11.402621158798828,11.511291696636263,11.38671276174602,89555.15689,99835.75655390073,88141.73444048826,11.377945899963379,87372.37662491335
42,Bachelor’s degree,Employed,20,15,United States of America,8,165000,11.950036046845238,11.943907561418749,12.082263635645058,154821.7273465396,153875.80002981395,176708.71476253902,12.087040901184082,177554.9236662357
32,Bachelor’s degree,Employed,16,13,United Kingdom of Great Britain and Northern Ireland,8,97682,11.566194438886791,11.519631817395847,11.60445201467475,105470.32973365573,100671.88903613244,109583.58706903896,11.614007949829102,110635.78965996135
42,Bachelor’s degree,Employed,10,9,United States of America,5,135000,11.770568503810056,11.698825327170951,11.904079305468064,129386.6872391222,120429.16582215928,147867.5977703042,11.883790969848633,144897.81784394788
42,Professional degree,Employed,25,25,Israel,8,58828,12.08531587160235,11.61961117727246,11.478896539469313,177248.89847264296,111257.45278949787,96653.35464769178,11.86679458618164,142455.87284490146
32,Master’s degree,"Independent contractor, freelancer, or self-employed",24,10,Ukraine,2,60000,10.900404688246429,11.196813595023182,11.362072019786265,54197.29277126135,72896.78949,85996.37227149922,10.881804466247559,53198.51007908404
32,Master’s degree,Employed,15,8,Germany,8,104413,11.389654204682808,11.278207642084308,11.300391821566647,88401.38294756254,79078.39621066961,80852.31140580015,11.387459754943848,88207.60106144933
42,Master’s degree,Employed,20,12,Germany,5,107894,11.301961966856425,11.388448568410965,11.362120094764458,80979.36257015832,88294.86605138279,86000.50669267621,11.468070983886719,95612.66077
47,Master’s degree,Employed,33,28,Ireland,8,92812,11.89995080122235,11.584645329689769,11.38671276174602,147258.38008083004,107434.43373508754,88141.73444048826,11.904918670654297,147991.7656272077
59,Secondary school,Employed,24,24,United States of America,9,80000,11.794995240163509,11.722645465340667,11.952365463319845,132586.12296806293,123332.26789124963,155182.79433268937,11.722662925720215,123334.42135571796
32,College/University course,Employed,10,8,United States of America,6,60000,11.814166039238998,11.569321767467246,11.73402742067868,135152.4446841728,105800.6895401344,124744.06087912599,11.799530982971191,133188.86997680424
42,Bachelor’s degree,Employed,18,12,Netherlands,10,51274,11.314500454120504,11.432408052636168,11.379001004144559,82001.12611323998,92262.88381482217,87464.61329100332,11.490409851074219,97772.59708063796
32,College/University course,"Independent contractor, freelancer, or self-employed",14,5,Poland,2,60518,10.958572138158127,10.91152051,11.000122700496474,57443.361839609875,54803.112120960344,59880.48875284562,10.901702880859375,54267.69828464211
32,Bachelor’s degree,Employed,10,10,Canada,10,145917,11.508368672679381,11.409237997480085,11.382031628908164,99544.35741,90149.70036442377,87730.09082280402,11.510697364807129,99776.43802
47,Bachelor’s degree,Employed,28,20,United States of America,3,162000,11.902429750543288,11.904613411570184,12.040792318265117,147623.8814636126,147946.59638562836,169530.2099353704,12.029990196228027,167708.7685439835
47,Professional degree,Employed,18,20,Sweden,6,83857,11.350421482979835,11.44598941074496,11.379001004144559,85000.27054762313,93524.50050305283,87464.61329100332,11.245928764343262,76566.55977106257
42,Master’s degree,Employed,13,13,India,6,79043,10.436425898017836,11.247583088776302,10.660152936907025,34077.63400127862,76693.33218841143,42622.15532885828,10.61253833770752,40640.2296
59,Bachelor’s degree,Employed,40,38,United States of America,5,150000,12.156643081981588,11.842298926743252,12.021364462124247,190353.43904629885,139008.69067141574,166268.3698528287,11.924689292907715,150946.78977197496
42,College/University course,Employed,15,11,United States of America,10,135000,11.835189372121983,11.787790391441112,12.045518823948761,138023.8985474853,131634.2858432594,170333.39680107185,11.970319747924805,157994.1709484789
42,Master’s degree,Employed,20,15,France,7,52207,11.168783323455756,11.391786206686179,11.379001004144559,70881.81669793595,88590.05806,87464.61329100332,11.258925437927246,77568.17810694566
59,Secondary school,"Independent contractor, freelancer, or self-employed",36,33,Italy,9,34804,11.017656782958216,11.37472191090408,11.063023783135172,60939.714855897146,87091.13941105166,63768.08451334622,10.84417724609375,51233.952600470526
32,Master’s degree,"Independent contractor, freelancer, or self-employed",20,13,Poland,8,109160,11.321507133964248,11.406842703664136,11.363318606240885,82577.70636,89934.02135975074,86103.64227768287,11.443777084350586,93317.82027610122
32,Bachelor’s degree,Employed,6,5,Mexico,8,12633,10.48184753498824,11.054877566678185,10.64941924090568,35661.23394,63250.71789892147,42167.09792983872,10.435778617858887,34055.582715095414
42,Bachelor’s degree,Employed,25,20,United Kingdom of Great Britain and Northern Ireland,7,106190,11.58136012409965,11.619663640010142,11.603560980190197,107082.06536578594,111263.28986563454,109485.98691199515,11.630491256713867,112474.56271433811
42,Master’s degree,Employed,22,15,United Kingdom of Great Britain and Northern Ireland,2,76512,11.456803313645455,11.463156123263834,11.600020942832096,94541.36440862044,95143.88587627905,109099.08411732527,11.650066375732422,114697.97603350657
42,Professional degree,Employed,5,2,France,7,23203,10.96115705726378,10.874598640288548,10.809119473423273,57592.042949573806,52816.541520600884,49468.88964252222,10.779023170471191,48002.21037525053
47,School,Employed,44,25,Spain,5,20883,11.245303567763285,11.446698197740213,11.364928252969344,76518.70495544883,93590.81365970921,86242.35194,10.860065460205078,52054.485638780316
47,Bachelor’s degree,Employed,26,22,United States of America,9,250000,12.048139498781698,11.987040328218088,12.04903669789599,170780.37330216833,160658.1514748898,170933.6669562151,12.078971862792969,176127.98286392205
47,Bachelor’s degree,Employed,31,21,United Kingdom of Great Britain and Northern Ireland,7,74878,11.549431980075305,11.583606104582946,11.581078926716172,103717.10613393351,107322.84212942996,107051.95812122789,11.597345352172852,108807.56711533094
47,College/University course,Employed,25,29,United States of America,10,210000,12.133021655633863,11.941187571840075,12.107779418420325,185909.68619686115,153457.82543829293,181275.61773804433,12.237956047058105,206478.42447199725
42,Master’s degree,Employed,20,13,Brazil,9,24211,10.617518156460072,11.328698629642156,10.740991680988602,40843.120317805195,83173.71127973807,46210.85662221004,10.710915565490723,44841.676503456634
42,Bachelor’s degree,Employed,22,10,Spain,10,127616,11.042296790580844,11.307974039147407,11.367084936168784,62459.94688477339,81467.68881955754,86428.55224,11.24239444732666,76296.42339663485
47,Master’s degree,Employed,35,20,Sweden,7,84277,11.289408889469291,11.44908051595849,11.362120094764458,79969.16363025154,93814.04494086838,86000.50669267621,11.264394760131836,77993.59123542738
59,Master’s degree,Employed,40,40,United States of America,7,175000,12.289993029592145,11.846590389819502,11.999940450134602,217507.46093224038,139606.5275,162744.09968165573,11.989249229431152,161013.42390586942
42,Bachelor’s degree,Employed,25,17,Greece,7,52207,10.785985339777973,11.477647103460002,11.369316895340457,48337.582958830935,96532.66662821746,86621.67491643401,11.088626861572266,65421.84978866308
47,Bachelor’s degree,Employed,35,27,United States of America,9,250000,12.149843693136182,12.00211602574505,12.127380362385331,189063.5354443864,163098.54937749504,184863.86217153582,12.172358512878418,193368.57107367384
32,Bachelor’s degree,Employed,16,13,Ireland,8,116015,11.722253251815358,11.482672258065692,11.38502317,123283.9044004897,97018.98411457567,87992.93535424818,11.718071937561035,122769.48769081623
32,Bachelor’s degree,Employed,11,3,Netherlands,7,63808,11.196481034654958,10.94720847644241,10.836499886337581,72872.55060369633,56794.27851069127,50842.10952206807,10.959994316101074,57525.11606471308
32,Secondary school,Employed,20,13,United States of America,10,100000,11.950658851816405,11.863940739992358,12.074637346931144,154918.18174380195,142049.90240532532,175366.20116409953,11.925236701965332,151029.44257970728
